Item,Paid,Value,Status,Type,Purchased From,Date Purchased,Notes
Ikki68 Keyboard (White/Gold) + Brass Plate,322.89,450,GB,Keyboard,WuqueStudio,6/2020,
Gengar Keycap,35,80,Sold,Keycaps,Mechmarket,5/2020,
Unholy Panda Parts,0,40,Sold,Switches,Mechmarket,9/2020,
Sesame Keyboard,90,140,Present,Keyboard,Mechmarket,9/2020,
Bootleg Planck,15,60,Present,Keyboard,Mechmarket,9/2020,
Bootleg Planck (lovejit),15,15,Sold,Keyboard,Mechmarket,9/2020,
GMK Laser R2,218,300,GB,Keycaps,Drop,7/2020,
Halo Trues 200x,97.43,97.43,Sold,Switches,Drop,7/2020,
T1 Lubing,0,35,Sold,Switches,Mechmarket,7/2020,
Thicc Films 4x,28,28,Present,Part/Accessory,Mechmarket,7/2020,
Sprit Springs (3x),38,33,Sold,Part/Accessory,Mechmarket,9/2020,
Sprit Springs (2x),25,25,Present,Part/Accessory,Gboards,8/2020,
Sprit Springs (1x),11,11,Present,Part/Accessory,Gboards,8/2020,
1upkeyboards Springs,11,8,Sold,Part/Accessory,Mechmarket,9/2020,
Tribosys 3203 (2ml),10.25,10.25,Present,Lube,1UpKeyboards,3/2020,
Tribosys 3204 (2ml),9,9,Present,Lube,1UpKeyboards,6/2020,
Tribosys 3203 (2ml),9.25,9.25,Present,Lube,1UpKeyboards,6/2020,
RST Switch (100x),3.62,3.62,Present,Part/Accessory,Aliexpress,9/2020,
Rotary Knob,4,4,Present,Part/Accessory,Aliexpress,8/2020,
Bootleg Alexotos Deskpad,24,24,Sold,Deskpad,Aliexpress,8/2020,
Durock Stabilizers Set,20.46,20.46,Present,Part/Accessory,Aliexpress,6/2020,
Stem Holder,3.05,3.05,Present,Part/Accessory,Aliexpress,5/2020,
Spudgers,2.40,2.40,Present,Part/Accessory,Aliexpress,3/2020,
Cringe Booty Spacebar,4.98,4.98,Present,Keycaps,Aliexpress,1/2020,
KAT Blanks,55,55,GB,Keycaps,ApexKeyboards,6/2020,
Kanye Keycap (extra),77,77,Sold,Keycaps,Mechmarket,9/2020,
Kanye Keycap (original),0,77,Present,Keycaps,Mechmarket,6/2020,
